area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;002002;047;01;1;3;1;2;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;1;1;2; ;2; ;2; ;1;10;2; ;2; ;2713;255,186119732471;010150002002;01015000200204701;010150002002047011;202402
1;10150;002002;047;02;1;3;2;2;1;2;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;1;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;255,186119732471;010150002002;01015000200204702;010150002002047021;202402
1;10150;002002;047;03;1;3;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;255,186119732471;010150002002;01015000200204703;010150002002047031;202402
1;10150;002002;047;04;1;3;1;2;2;1;2;1;2;1;1;0;1;1;2; ; ;1; ; ;1;1;1;2;5;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;255,186119732471;010150002002;01015000200204704;010150002002047041;202402
1;10150;002002;047;05;1;3;1;2;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;255,186119732471;010150002002;01015000200204705;010150002002047051;202402
1;10150;002002;047;06;1;3;1;2;1;2;2;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;120;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;255,186119732471;010150002002;01015000200204706;010150002002047061;202402
1;10150;002002;047;07;1;3;1;2;3;4;2;3;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;130;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;255,186119732471;010150002002;01015000200204707;010150002002047071;202402
1;10150;002003;056;01;1;1;4;2;1;1;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;122,961973141273;010150002003;01015000200305601;010150002003056011;202402
1;10150;002003;056;02;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;250;2;2;2;1;2;2; ;2; ;2; ;2; ;1;70;2; ;2; ;2713;122,961973141273;010150002003;01015000200305602;010150002003056021;202402
1;10150;002003;056;03;1;1;1;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;122,961973141273;010150002003;01015000200305603;010150002003056031;202402
1;10150;002003;056;04;1;1;1;3;1;1;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;100;1;1;2;1;1;2; ;2; ;2; ;2; ;1;65;2; ;2; ;2713;122,961973141273;010150002003;01015000200305604;010150002003056041;202402
1;10150;002003;056;05;1;1;1;2;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;250; ; ; ;1;2;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;122,961973141273;010150002003;01015000200305605;010150002003056051;202402
