area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000304;042;01;1;3;3;1;1;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404201;010150000304042011;202403
1;10150;000304;042;02;1;2;2;2;2;2;2;3;3;3;3;3;3;2;2;3;3;2712;576,404970864438;010150000304;01015000030404202;010150000304042021;202403
1;10150;000304;042;03;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404203;010150000304042031;202403
1;10150;000304;042;03;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404203;010150000304042032;202403
1;10150;000304;042;04;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404204;010150000304042041;202403
1;10150;000304;042;05;1;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404205;010150000304042051;202403
1;10150;000304;042;06;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404206;010150000304042061;202403
1;10150;000304;042;07;1;2;2;1;1;2;2;3;3;3;3;3;3;3;3;3;3;2712;576,404970864438;010150000304;01015000030404207;010150000304042071;202403
1;10150;002103;034;01;1;2;2;1;1;1;1;2;2;2;2;2;2;3;2;3;2;2713;65,2400145569551;010150002103;01015000210303401;010150002103034011;202403
1;10150;002103;034;02;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2713;65,2400145569551;010150002103;01015000210303402;010150002103034021;202403
1;10150;002103;034;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;65,2400145569551;010150002103;01015000210303403;010150002103034031;202403
1;10150;002103;034;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;65,2400145569551;010150002103;01015000210303404;010150002103034041;202403
1;10150;002103;034;05;1;2;2;1;2;1;2;1;2;2;2;2;2;3;1;2;2;2713;65,2400145569551;010150002103;01015000210303405;010150002103034051;202403
1;10150;002103;034;06;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2713;65,2400145569551;010150002103;01015000210303406;010150002103034061;202403
1;10150;002103;034;07;1;3;2;1;2;1;2;2;2;2;2;2;2;2;2;3;2;2713;65,2400145569551;010150002103;01015000210303407;010150002103034071;202403
1;10150;004502;059;01;1;2;2;2;1;2;2;2;2;2;2;2;2;3;2;3;2;2712;73,1144852312373;010150004502;01015000450205901;010150004502059011;202403
1;10150;004502;059;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;73,1144852312373;010150004502;01015000450205902;010150004502059021;202403
1;10150;004502;059;03;1;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2712;73,1144852312373;010150004502;01015000450205903;010150004502059031;202403
1;10150;004502;059;04;1;3;2;2;1;2;2;2;2;2;2;2;2;3;2;3;2;2712;73,1144852312373;010150004502;01015000450205904;010150004502059041;202403
1;10150;004502;059;05;1;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;2712;73,1144852312373;010150004502;01015000450205905;010150004502059051;202403
1;10150;004502;059;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2712;73,1144852312373;010150004502;01015000450205906;010150004502059061;202403
