ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,dates,playlists_found
7lznzPjPyRFdcYaD9gN7a3,This Is Shangrila,45.0,152.0,3XR64HmFo4OvexUUNW7TP0,1990-01-01,220706.0,0.00428,0.467,0.774,0.00134,0.158,-10.617,0.0515,109.529,0.324,4.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
3e2fDgC93LGc9Lbdvr6I9k,River Of Deceit,52.0,185.0,0T7JQxpy1Li93vLNirbv0Z,1995-03-07,302693.0,0.111,0.461,0.246,0.000374,0.0963,-13.487,0.0298,88.446,0.178,0.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
0donjzZGsCA2PfPUA4EdMN,Shadow of the Season,46.0,185.0,3Ukr3Ufjg8ygRJv7Ww887f,1992,273813.0,4.63e-05,0.163,0.937,0.00297,0.372,-5.502,0.0882,184.482,0.413,0.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3bE5slaVEfaDreqARl6k4M,Yellow Ledbetter,69.0,183.0,1w5Kfo2jwwIPruYS2UWh56,1991,303586.0,0.29,0.504,0.354,4.71e-06,0.157,-11.3,0.0339,140.87,0.292,4.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
1LvJ1PFobtIm5DwzRrK0jG,Swallow My Pride,43.0,185.0,1XIIxzmo6BNRR4QkImSdsX,1990-09-13,179800.0,0.423,0.349,0.869,0.0,0.76,-11.481,0.0934,127.44,0.193,4.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
2x5FYXo5rL4Phmn3UPdkK3,Touch Me I'm Sick,55.0,185.0,7LuYiSXiWs86rwWJjEEgB9,1988-10-01,152706.0,4.79e-05,0.354,0.941,0.66,0.331,-6.984,0.0737,131.442,0.569,1.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
0CkspLl535ZxdwCRs8AdZ4,Plush - 2017 Remaster,65.0,184.0,2UazAtjfzqBF0Nho2awK4z,1992-09-29,313946.0,0.00671,0.426,0.94,1.72e-06,0.14,-5.279,0.0424,144.472,0.466,7.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,79.0,184.0,5xUf6j4upBrXZPg6AI4MRK,1994-03-09,318586.0,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,105.435,0.147,6.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
0ecuZefr04QYl0cGpT53Nz,Cut You In,49.0,185.0,5HUFo8AH9ZILmlyKFfEMNP,1998-04-07,203000.0,0.225,0.632,0.742,0.00115,0.138,-6.785,0.0342,119.509,0.725,10.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
1L94M3KIu7QluZe63g64rv,Alive,75.0,185.0,1w5Kfo2jwwIPruYS2UWh56,1991-08-27,340907.0,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009,0.595,11.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
4EiLHuUSKTlaGmdR17J2tc,Nearly Lost You,45.0,185.0,3Ukr3Ufjg8ygRJv7Ww887f,1992-06-02,246226.0,3.37e-05,0.192,0.908,0.000162,0.279,-9.127,0.072,201.254,0.481,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
6gpai6xL08vD5mQ4fXTwxL,Say Hello 2 Heaven - 25th Anniversary Mix,49.0,184.0,0iHb0mCbqZTYeb4y9Pirrd,2016-04-16,384466.0,0.0576,0.304,0.769,9.14e-06,0.373,-6.672,0.0334,148.736,0.285,0.0,1.0,3.0,1.0,2024-04-01,Grunge Forever
6skC0VsaOZE1kG4CwXI2Zj,Sex Type Thing - 2017 Remaster,62.0,184.0,2UazAtjfzqBF0Nho2awK4z,1992-09-29,217813.0,1.39e-06,0.406,0.925,0.624,0.0418,-7.336,0.041,134.252,0.773,9.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
5eXJylmFFCqixTxJGYKny8,Jezebel Woman,38.0,169.0,6iQ35vbjuK5T4QkhihmNih,1995-06-25,271333.0,0.000689,0.217,0.736,2.46e-06,0.0821,-7.309,0.0409,130.404,0.246,9.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
7fJZisLc35j8EbIQxTFx8b,Burn a Hole,40.0,181.0,0sPa3yPonEuDbDhBzz7g4E,1991,294760.0,1.38e-05,0.232,0.876,0.258,0.255,-8.287,0.0415,103.556,0.133,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
09hctAvAEUpm7MKl1RBK2j,Revolve,49.0,184.0,6aVjo0xHSiuW5hkasoYSR3,1994-09-27,284906.0,0.000274,0.448,0.796,0.443,0.171,-7.896,0.0283,97.178,0.565,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3KwankFLnPiRwQwpm9ahiz,Lotus (Meditation),42.0,185.0,6lmrCOEWctZj9LghJ9wxuv,2022-12-16,337500.0,0.974,0.155,0.0112,0.981,0.0672,-36.062,0.0484,135.998,0.0366,4.0,1.0,4.0,1.0,2024-04-01,Meditate to the Sounds of Nature
3XTTk5s0RTsiie4fkPTcdU,Between The Eyes,42.0,185.0,43wwctvUaVOoEHEijQ8NpF,1992-01-01,268466.0,0.171,0.634,0.909,0.00318,0.102,-8.332,0.0289,103.398,0.816,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3cMliO9emUSa4d1Ap2MbfW,Volcano Girls,55.0,88.0,2QwJQuBekTA4qF7N7uLHDP,1997-01-01,198933.0,0.000789,0.543,0.961,1.29e-06,0.431,-2.749,0.0373,131.463,0.567,4.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
4VwPsMcRt1HPVKIdcwY9Uj,Outshined - Remastered 2016,63.0,184.0,5xUf6j4upBrXZPg6AI4MRK,1991-10-08,311000.0,0.000173,0.485,0.841,0.00686,0.125,-6.068,0.0307,94.867,0.551,2.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
2wO8aOvN1ogLy1N8XT1WJE,This Is a Call,61.0,185.0,7jy3rLJdDQY21OgRLCZ9sD,1995-07-04,233360.0,0.00141,0.261,0.964,2.87e-05,0.183,-6.654,0.0638,162.902,0.326,9.0,1.0,3.0,1.0,2024-04-01,Grunge Forever
0wvIGFIgbyz4JNwQhZgTv2,Rooster (2022 Remaster),71.0,185.0,64tNsm6TnZe2zpcMVMOoHL,1992-09-29,374333.0,0.0289,0.263,0.562,0.00118,0.12,-7.858,0.0273,146.08,0.213,3.0,1.0,3.0,1.0,2024-04-01,Grunge Forever
7fxpqs4G8vj3rFYbJnsG7w,Shitlist,52.0,184.0,2zMQOJ4Cyl4BYbw6WqaO3h,1992,175293.0,9.2e-06,0.419,0.916,0.184,0.0751,-8.373,0.0604,128.981,0.495,1.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
6hqIXyo6GxydAnoI8XeIrV,Rusty Cage - Remastered 2016,63.0,184.0,5xUf6j4upBrXZPg6AI4MRK,1991-10-08,266200.0,1.65e-05,0.307,0.917,0.00044,0.0566,-7.599,0.0977,101.879,0.266,9.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3YsG8BwqrJzM3DOqYpFLp0,Leafy Incline,40.0,184.0,2mncWLPUUFpNvBLkHzTsDO,1993,210533.0,1.58e-05,0.24,0.863,0.416,0.0944,-8.046,0.0402,75.591,0.331,11.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
1Ic9pKxGSJGM0LKeqf6lGe,All Apologies,73.0,184.0,6olE6TJLqED3rqDCT0FyPh,1993-09-21,233173.0,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,0.359,1.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
7geL2YhrXDr9tFjoNJMaSZ,Possum Kingdom,35.0,0.0,2QMMktUMtwMSwUZATX1cRO,2015-09-18,354493.0,0.0742,0.564,0.654,0.148,0.131,-7.507,0.0251,181.081,0.446,11.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
50f5BoytJN3FrlUtDgltO5,Crazy Love,40.0,184.0,40akJv6gxzx8uyRg3vBRuX,1992,294186.0,2.3e-05,0.429,0.903,6.19e-05,0.446,-5.667,0.0377,105.973,0.576,5.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
36CTxkvfEPmhZ95y2le5F2,Losing Skin,40.0,185.0,4jzHHEC3qk1j4hnIWPUnsu,1993-09-01,163066.0,6.51e-06,0.209,0.951,0.00619,0.0829,-6.326,0.0609,100.945,0.471,0.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
4QglwXpVgc088RhQOp42vx,Seasons,50.0,185.0,0XHiH53dHrvbwfjYM7en7I,1992-06-02,345133.0,0.181,0.48,0.384,0.105,0.124,-12.705,0.0304,152.184,0.194,10.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
7FRfYOql61DGDp9VPPe2qA,Down In A Hole (2022 Remaster),66.0,185.0,64tNsm6TnZe2zpcMVMOoHL,1992-09-29,338226.0,0.0122,0.356,0.818,0.000118,0.123,-5.343,0.0335,97.528,0.389,6.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3vaONhSGEscyYeYoGpMLW4,Plowed,52.0,185.0,2JXDwIo5HsiwTcTPQytrZ8,1994-08-02,197000.0,0.00252,0.412,0.88,4.39e-05,0.09,-9.001,0.045,105.241,0.234,1.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
53eJFr4Mfbw5PXJ01K6cFw,Daughter - Remastered,68.0,185.0,1w5Kfo2jwwIPruYS2UWh56,1993-10-19,234333.0,0.00746,0.615,0.702,0.00431,0.0608,-9.686,0.0278,96.987,0.734,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,66.0,183.0,3R6c2tWDBeYB1GncjLMn9n,1993-07-16,299733.0,0.00187,0.552,0.645,1.38e-06,0.0424,-6.595,0.0268,89.518,0.588,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3CtphwpjC0XjIVpLFvGiQR,Hunger Strike - 25th Anniversary Mix,58.0,184.0,0iHb0mCbqZTYeb4y9Pirrd,2016-04-16,246266.0,0.0252,0.384,0.735,2.76e-05,0.114,-6.522,0.0317,137.834,0.312,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
2SHTKB8YYlawTGIuJ2b2ok,About A Girl,79.0,185.0,6olE6TJLqED3rqDCT0FyPh,1989-06-01,168428.0,5.13e-06,0.413,0.875,0.00058,0.209,-7.48,0.031,131.951,0.575,6.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
4LGKzrdEeBwR9UHCGlDT0W,I'll Stick Around,59.0,185.0,7jy3rLJdDQY21OgRLCZ9sD,1995-07-04,232533.0,0.00254,0.306,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,0.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
5XUpAb2zC8G404RPkwb09H,Alone + Easy Target,51.0,185.0,7jy3rLJdDQY21OgRLCZ9sD,1995-07-04,245666.0,0.00424,0.226,0.978,1.47e-06,0.109,-7.27,0.107,131.586,0.137,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
6bmlymaMLlpfcyWNjn4vRE,This Town,39.0,185.0,1XIIxzmo6BNRR4QkImSdsX,1990-09-13,203800.0,0.00521,0.457,0.92,4.68e-06,0.0948,-12.226,0.0517,102.307,0.282,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
2TSeGxfPeHQEZbmL19I6ob,Take a Breath,51.0,185.0,3BXLBEYS53k3FXlvHUJsw7,2023-09-02,170000.0,0.994,0.169,0.0188,0.993,0.0879,-29.706,0.0416,115.212,0.0382,0.0,1.0,4.0,1.0,2024-04-01,Meditate to the Sounds of Nature
7wpYSigAhQeZp3cdsMQ3Af,Glycerine - 2014 Remastered,66.0,2.0,78SHxLdtysAXgywQ4vE0Oa,2014-10-14,266493.0,0.0371,0.437,0.337,0.000946,0.0981,-11.439,0.0326,114.239,0.0784,5.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
6CHENx8iqzMwavTIz8s0gm,Violet,64.0,184.0,5SHQUMAmEK5KmuSb0aDvsn,1994-01-01,204933.0,0.049,0.287,0.78,3.71e-05,0.184,-6.493,0.0469,167.278,0.383,7.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
