objectid,nombre,direccion,tipozona,tipoemision,so2,no2,o3,co,pm10,pm25,fecha_carga,calidad_ambiental
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,10,71.0,0.7,8.0,3.0,2024-05-24T20:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,4,73.0,0.7,8.0,3.0,2024-05-24T23:20:07+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,4,75.0,0.7,8.0,3.0,2024-05-25T00:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,4,77.0,0.7,8.0,3.0,2024-05-25T01:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,4,79.0,0.7,8.0,3.0,2024-05-25T02:20:08+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,3,81.0,0.7,8.0,3.0,2024-05-25T03:20:07+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,3,82.0,0.7,7.0,2.0,2024-05-25T05:20:09+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,4,80.0,0.7,7.0,2.0,2024-05-25T06:20:09+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,9,75.0,0.7,7.0,2.0,2024-05-25T07:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,8,70.0,0.7,7.0,2.0,2024-05-25T08:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,13,66.0,0.7,7.0,2.0,2024-05-25T09:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,8,64.0,0.7,7.0,2.0,2024-05-25T10:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,6,63.0,0.7,7.0,2.0,2024-05-25T11:20:07+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,11,63.0,0.7,7.0,2.0,2024-05-25T12:20:08+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0.0,14,64.0,0.7,7.0,2.0,2024-05-25T13:20:09+00:00,Razonablemente Buena
