dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
2024-04-01,01XYiBYaoMJcNhPokrg0l0,stayc,3049521.0,63,1782552,"k-pop, k-pop girl group",2020,2024,14,2,K-Pop ON! (온),0y0uzuB1HxljAY2j0tLETp
2024-04-01,099toTcKJoywTosZr2hHjy,langhorne slim,1060777.0,51,163686,"anti-folk, indie folk, modern folk rock, new americana, stomp and holler",2008,2023,20,3,Sunrise Run,40rjypnguxfhPy4Bbv5SWc
2024-04-01,0BvkDsjIUla7X0k6CSWh1I,luke bryan,10460890.0,76,8487512,"contemporary country, country, country road, modern country rock",2007,2023,20,6,Sunrise Run,386DfI5sZ0eJi1i6SZVqLw
2024-04-01,0CmvFWTX9zmMNCUi6fHtAx,the boyz,1285501.0,60,2845229,"k-pop, k-pop boy group",2020,2024,20,6,K-Pop ON! (온),6MEtGumgTXWquxH35osvEC
2024-04-01,0FRUZvZNPzM3YJMABJxf2K,wendy,1885379.0,62,907553,"k-pop, korean pop",2015,2024,20,2,K-Pop ON! (온),7b8SkcdeiTuo6FQXdPgPWW
2024-04-01,0T7JQxpy1Li93vLNirbv0Z,mad season,568020.0,49,598724,"alternative metal, alternative rock, blues rock, grunge, supergroup",1995,1995,2,26,Grunge Forever,"3e2fDgC93LGc9Lbdvr6I9k, 5DRUgJmwLvCHQjiFzb4LSQ"
2024-04-01,0TjAAwE04BeoSeOpJIakYH,little may,221557.0,38,51747,indie folk,2014,2019,4,5,Sunrise Run,7L3WVfrpwUN07jkvZg1vrP
2024-04-01,0UWgEdhywZEON8EtIBYGoL,john ocean,176072.0,40,4394,background music,2019,2024,13,5,Meditate to the Sounds of Nature,6P0X2zwmhyEHDAOM1i36Zq
2024-04-01,0XHiH53dHrvbwfjYM7en7I,chris cornell,2080900.0,59,2127586,"alternative metal, alternative rock, grunge, hard rock, post-grunge, rock",1999,2020,20,1,Grunge Forever,4QglwXpVgc088RhQOp42vx
2024-04-01,0b1sIQumIAsNbqAoIClSpy,j-hope,3919781.0,74,17187002,"k-pop, k-rap",2018,2024,8,1,K-Pop ON! (온),"3ajU531gR5fW71wqsw4tFX, 11sirgYaEutV40tkvgpHN6"
2024-04-01,0ghlgldX5Dd6720Q3qFyQB,tomorrow x together,8827250.0,77,9718213,"k-pop, k-pop boy group",2019,2024,20,3,K-Pop ON! (온),3aAnwyBJY9OLNLqSgd4fZU
2024-04-01,0iHb0mCbqZTYeb4y9Pirrd,temple of the dog,1531741.0,54,1227103,"alternative metal, alternative rock, grunge, hard rock, rock, supergroup",1990,2016,2,10,Grunge Forever,"3CtphwpjC0XjIVpLFvGiQR, 6gpai6xL08vD5mQ4fXTwxL"
2024-04-01,0iidQFemlPhkoHqFroz2my,delta rae,316892.0,42,91258,folk-pop,2012,2022,20,1,Sunrise Run,1G2y3ckwnDX4IOiemPOXEW
2024-04-01,0n94vC3S9c3mb2HyNAOcjg,the head and the heart,3591723.0,62,1072496,"folk-pop, seattle indie, stomp and holler",2011,2022,20,6,Sunrise Run,7CtViMh5EgoE8krmPPuOhi
2024-04-01,0sPa3yPonEuDbDhBzz7g4E,skin yard,44360.0,26,31666,"grunge, underground grunge",1987,2012,7,15,Grunge Forever,7fJZisLc35j8EbIQxTFx8b
2024-04-01,0tkHE1pQ5ZCgQb8WZ0ba79,gaeko,880098.0,62,139091,"k-rap, korean r&b",2014,2023,20,2,K-Pop ON! (온),11sirgYaEutV40tkvgpHN6
2024-04-01,0vRO9bFgOrDoFtLcDHV8b6,kopecky,18210.0,20,21906,nashville indie,2010,2015,3,7,Sunrise Run,4zVuN7gzv4pbhtJl6Krxnk
2024-04-01,10exVja0key0uqUkk6LJRT,vance joy,24123895.0,75,3023746,"folk-pop, modern rock",2014,2023,20,2,Sunrise Run,6OFKVE2HZdK3n2tbTDMhn3
2024-04-01,196lKsA13K3keVXMDFK66q,the avett brothers,2338880.0,59,974758,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,20,2,Sunrise Run,0KKist1jJYO17nOqtO1sb2
2024-04-01,1Do4bSzfUl0KWL9r1fITu0,yoon mirae,1935386.0,62,284513,"k-pop, korean ost, korean pop, korean r&b",2001,2023,20,2,K-Pop ON! (온),11sirgYaEutV40tkvgpHN6
2024-04-01,1SIocsqdEefUTE6XKGUiVS,babymonster,3667742.0,64,812906," rap , pop ",2023,2024,3,1,K-Pop ON! (온),"3VBj0lzjmhTzVFPEDOjNCG, 1Ad4anaX6hJyfZvVDkrKQg"
2024-04-01,1TTx0YcbKUtJIZY1HEnh9B,j.y. park,997677.0,50,153494,classic k-pop,2001,2023,20,1,K-Pop ON! (온),1bN4ejW5IMmL4CRVG6Fxfk
2024-04-01,1XIIxzmo6BNRR4QkImSdsX,green river,75274.0,32,90197,grunge,1990,2019,6,16,Grunge Forever,"6bmlymaMLlpfcyWNjn4vRE, 1LvJ1PFobtIm5DwzRrK0jG"
2024-04-01,1bqxdqvUtPWZri43cKHac8,max,10687678.0,70,892321,"singer-songwriter pop, teen pop, viral pop",2016,2024,20,2,K-Pop ON! (온),60JZB9waHUPWJTGbYO6kDB
2024-04-01,1gBUSTR3TyDdTVFIaQnc02,nct dream,4666237.0,74,7608002,"k-pop, k-pop boy group",2019,2024,20,2,K-Pop ON! (온),2jaapqz7L9MpMf7vpkqU9I
2024-04-01,1w5Kfo2jwwIPruYS2UWh56,pearl jam,15096498.0,75,8594757,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",1991,2024,20,1,Grunge Forever,"3bE5slaVEfaDreqARl6k4M, 1L94M3KIu7QluZe63g64rv, 6QewNVIDKdSl8Y3ycuHIei, 62nQ8UZVqR2RMvkJHkcO2o, 53eJFr4Mfbw5PXJ01K6cFw"
2024-04-01,1xVWSPiw5B0OduIC0DSu3V,delta spirit,255629.0,40,119651,"modern folk rock, piano rock, stomp and holler",2006,2022,17,6,Sunrise Run,1zcs4HI1bvDmOJ2fIVTrdz
2024-04-01,23sVmJfw1dF0MTIAkIO0bn,solfeggio dreams,284809.0,49,2116,"healing hz, solfeggio product",2022,2024,10,4,Meditate to the Sounds of Nature,5RpPrA45N1wKZRUjVR2NJk
2024-04-01,267VY6GX5LyU5c9M85ECZQ,dinosaur jr.,668136.0,51,521457,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop",1985,2021,20,12,Grunge Forever,7yThIhNzpgDBIGoL2y1y6u
2024-04-01,28ot3wh4oNmoFOdVajibBl,nmixx,4806390.0,70,2627521,"k-pop, k-pop girl group",2022,2024,11,4,K-Pop ON! (온),"1bN4ejW5IMmL4CRVG6Fxfk, 2RoYgkPzUY0vY7lhUuyus1"
2024-04-01,2AfmfGFbe0A0WsTYm0SDTx,(g)i-dle,12951093.0,77,8785108,k-pop girl group,2020,2024,20,1,K-Pop ON! (온),"2vNPGH1x5ZwxTjlvzLCyc2, 6hWU8LrnjLyYHShDyNWFZj, 5qI5EUqfDJpQ7w6sMECK7U, 4uOBL4DDWWVx4RhYKlPbPC"
2024-04-01,2JXDwIo5HsiwTcTPQytrZ8,sponge,249150.0,40,121779,"grunge, pop rock, post-grunge",1994,2023,20,1,Grunge Forever,3vaONhSGEscyYeYoGpMLW4
2024-04-01,2KC9Qb60EaY0kW4eH68vr3,itzy,6515716.0,73,7015827,"k-pop, k-pop girl group",2020,2024,20,1,K-Pop ON! (온),"1bN4ejW5IMmL4CRVG6Fxfk, 2HQALWSN6IF4BYrSADMJ0w"
2024-04-01,2PSJ6YriU7JsFucxACpU7Y,chung ha,2694061.0,62,2166309,k-pop,2019,2024,20,2,K-Pop ON! (온),3WFTUAPrXvqg3SXC0bsukz
2024-04-01,2QMMktUMtwMSwUZATX1cRO,toadies,859843.0,49,294958,"alternative rock, grunge, pop rock, post-grunge",1994,2023,20,2,Grunge Forever,7geL2YhrXDr9tFjoNJMaSZ
2024-04-01,2QwJQuBekTA4qF7N7uLHDP,veruca salt,457218.0,46,268623,"alternative pop, alternative rock, grunge, lilith, riot grrrl",1994,2023,11,4,Grunge Forever,3cMliO9emUSa4d1Ap2MbfW
2024-04-01,2UazAtjfzqBF0Nho2awK4z,stone temple pilots,6235488.0,67,3426402,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",1992,2021,19,1,Grunge Forever,"0CkspLl535ZxdwCRs8AdZ4, 6qLEOZvf5gI7kWE63JE7p3, 6dmueYtoihUhlQZlImBCmm, 6skC0VsaOZE1kG4CwXI2Zj"
2024-04-01,2bwGHLbsqHoMmpMcp01WnO,domy castellano,337686.0,49,1107,organic ambient,2023,2024,20,5,Meditate to the Sounds of Nature,6uyJy0Lp3EGtWnTQ7NIZud
2024-04-01,2dIgFjalVxs4ThymZ67YCE,stray kids,8281944.0,82,14875131,"k-pop, k-pop boy group, pop",2018,2023,20,5,K-Pop ON! (온),1bN4ejW5IMmL4CRVG6Fxfk
2024-04-01,2mncWLPUUFpNvBLkHzTsDO,tad,58714.0,30,58047,grunge,1989,1995,5,13,Grunge Forever,3YsG8BwqrJzM3DOqYpFLp0
2024-04-01,2o8gT0fQmFxGNbowbdgeZe,dpr ian,4381522.0,70,1260073,k-rap,2020,2023,10,1,K-Pop ON! (온),5izX3yhDZHqQFi8p2m6RHi
2024-04-01,2sG4zTOLvjKG1PSoOyf5Ej,brandi carlile,5260544.0,65,805290,"acoustic pop, ectofolk, folk, indie folk, lilith, modern folk rock, new americana",2005,2024,20,1,Sunrise Run,1kiWXhS6AMJOtU4DPUh0mq
2024-04-01,2seiab24QmTzU4XTr1rjhV,isobel belano,195169.0,38,845,background music,2019,2024,19,1,Meditate to the Sounds of Nature,2AklRxXDMKpMjQ77QcvY7y
2024-04-01,2ysnwxxNtSgbb9t1m2Ur4j,george ezra,14495818.0,72,4135338,"folk-pop, neo-singer-songwriter",2013,2023,17,4,Sunrise Run,0KlUnDYTACNGFPFIUa3eZd
2024-04-01,2zHZRicUVAYrE91sAwS4IJ,aisher rami,107044.0,38,79, ambient ,2023,2023,7,2,Meditate to the Sounds of Nature,4Q9hxYb7d3kCBRAdPikAL2
2024-04-01,2zMQOJ4Cyl4BYbw6WqaO3h,l7,562019.0,47,314314,"alternative rock, grunge, punk, riot grrrl",1988,2023,20,1,Grunge Forever,"3z5ggGtcs4t8pizW521gW9, 7fxpqs4G8vj3rFYbJnsG7w"
2024-04-01,35kdbaWQLDJudwBytHuiyW,zephyrical,348397.0,44,218,healing hz,2022,2024,12,1,Meditate to the Sounds of Nature,3aECxXZzEPZGDZXjNeVX2n
2024-04-01,3BXLBEYS53k3FXlvHUJsw7,moon garden,214476.0,41,336, ambient ,2023,2024,20,1,Meditate to the Sounds of Nature,2TSeGxfPeHQEZbmL19I6ob
2024-04-01,3GjVVVcFmUgEJEAAsbGkf4,trampled by turtles,1185609.0,55,387264,"duluth indie, indie folk, jam band, new americana, progressive bluegrass, stomp and holler",2004,2022,20,1,Sunrise Run,6nQ5z2EDrltb8MZs3HhfgL
2024-04-01,3HqSLMAZ3g3d5poNaI7GOU,iu,7663140.0,73,8459764,"k-pop, pop",2009,2024,20,1,K-Pop ON! (온),1c6kkrWnpy68eYDfBdxNtF
2024-04-01,3JjvsPeGMbDJqsphe2z8xU,p1harmony,1834750.0,64,1085898,"k-pop, k-pop boy group",2020,2024,15,6,K-Pop ON! (온),2E7qG81LXdZEfobhcrVm06
2024-04-01,3JsHnjpbhX4SnySpvpa9DK,v,8801760.0,83,17584997,"j-division, korean ost",2016,2024,12,2,K-Pop ON! (온),0PBTlQ84CBJF0tBnKGmQa6
2024-04-01,3NPpFNZtSTHheNBaWC82rB,x ambassadors,13807771.0,71,2970334,"modern alternative rock, modern rock, stomp pop",2013,2024,20,1,Sunrise Run,0fYVliAYKHuPmECRs1pbRf
2024-04-01,3R6c2tWDBeYB1GncjLMn9n,candlebox,1348419.0,53,865350,"alternative metal, grunge, nu metal, post-grunge",1993,2023,20,1,Grunge Forever,3mhOmh4tRKsMfnRmgZfeBm
2024-04-01,3RJbkbBAHUe5EEw7dpDVUV,blood circus,25764.0,21,2204,underground grunge,2020,2020,1,9,Grunge Forever,6AZFTXEbrftYn5Ca0PaKru
2024-04-01,3RRjbAYUzANb74qkNyT7vF,ookean,576617.0,49,1484,binaural,2022,2024,20,2,Meditate to the Sounds of Nature,4DUlzJYHrdNxxdJlt94nP3
2024-04-01,3Ukr3Ufjg8ygRJv7Ww887f,screaming trees,346357.0,44,321609,"alternative rock, grunge",1985,2011,11,6,Grunge Forever,"4EiLHuUSKTlaGmdR17J2tc, 0donjzZGsCA2PfPUA4EdMN"
2024-04-01,3XR64HmFo4OvexUUNW7TP0,mother love bone,251460.0,42,344719,"alternative rock, funk metal, grunge",1989,2016,6,5,Grunge Forever,"3UhOnJHr4XYGgFLoQE9JFt, 7lznzPjPyRFdcYaD9gN7a3"
2024-04-01,3ceQN2NVlLg1hgTzljDE4n,half moon run,1271300.0,55,295753,"canadian indie, indie folk, quebec indie",2013,2024,20,2,Sunrise Run,2BzR2zRJIcFcMCIBKAD68U
2024-04-01,3gd8FJtBJtkRxdfbTu19U2,mumford & sons,11063352.0,72,6350877,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",2009,2024,20,1,Sunrise Run,"1fXiYSWmkKJfRKMegCkI11, 4B4vB3oB8csotplfoQcAd6"
2024-04-01,3jZNP1cGIr9jG32lxHUezh,aatom,65110.0,30,2413,ambient guitar,2020,2024,20,4,Meditate to the Sounds of Nature,0rjq0cADIoP8x92YLcKSPP
2024-04-01,3qJhX4vt6z2W7C2SsDHiAK,andrea accorsi,80057.0,35,470, ambient ,2021,2024,20,1,Meditate to the Sounds of Nature,3smuAxUIVqSgUJMS9BDVqx
2024-04-01,3qNVuliS40BLgXGxhdBdqu,taeyeon,4038589.0,67,2830895,k-pop,2016,2024,20,2,K-Pop ON! (온),2gyCwrOcC6JBoaJ8JGJ7T8
2024-04-01,40akJv6gxzx8uyRg3vBRuX,gruntruck,44650.0,27,30150,"funk metal, grunge, underground grunge",1992,2017,4,1,Grunge Forever,50f5BoytJN3FrlUtDgltO5
2024-04-01,43wwctvUaVOoEHEijQ8NpF,love battery,51115.0,27,24535,"grunge, underground grunge",1992,1995,5,2,Grunge Forever,3XTTk5s0RTsiie4fkPTcdU
2024-04-01,4A7ZW9rJIvRiyu3pgxQW1j,sam bucciana,201967.0,39,119," traditional , modern ",2022,2024,6,1,Meditate to the Sounds of Nature,7i93LXVxC6OnibqUY8DdpT
2024-04-01,4CHiVarfTsFhkFOk5vHS77,marc scibilia,718345.0,50,59005,indiecoustica,2013,2024,20,1,Sunrise Run,2nxmj0bOGYbIRMWn2xSsvB
2024-04-01,4IjFhiHshrelBCY2ACVwhR,quiet point,234480.0,41,315, ambient ,2023,2024,20,1,Meditate to the Sounds of Nature,02SaJ1OMfv7gDlIRM5OSmw
2024-04-01,4SpbR6yFEvexJuaBpgAU5p,le sserafim,15986724.0,82,4795106,k-pop girl group,2022,2024,20,1,K-Pop ON! (온),"4lR8sYGMGZPvthF2yUfo7T, 2O4Bb2WCkjlTPO827OnBMI, 74X2u8JMVooG2QbjRxXwR8"
2024-04-01,4TEK9tIkcoxib4GxT3O4ky,kiss of life,2919404.0,65,593971,k-pop girl group,2023,2023,2,6,K-Pop ON! (온),"0NoeYUnwpb9R26mpylHcR9, 70efTlnBNM8BvfhfPiqOBN"
2024-04-01,4XC4r2EEPyi9Ox0ZinPaIV,nature on record,585791.0,54,658,"environmental, sound",2019,2023,15,2,Meditate to the Sounds of Nature,3T4OHmowOZnJnBgXqg8YPQ
2024-04-01,4dwdTW1Lfiq0cM8nBAqIIz,of monsters and men,9772182.0,68,3460370,"folk-pop, metropopolis, modern rock, stomp and holler",2012,2022,14,1,Sunrise Run,"3a2tuvXCHbW5nuUckuHkKT, 60ZGteAEtPCnGE6zevgUcd"
2024-04-01,4jzHHEC3qk1j4hnIWPUnsu,seaweed,51977.0,29,20649,underground grunge,1991,2011,6,2,Grunge Forever,36CTxkvfEPmhZ95y2le5F2
2024-04-01,4muJrGMndyYWqZtfk8OWy4,boa,1155697.0,54,816659,k-pop,2004,2022,20,14,K-Pop ON! (온),55W3ONBbW98Cqvk0ZIoaKR
2024-04-01,4yeImZMSwYrOxDHujAsfWz,hollow graham,47524.0,28,16, ambient ,2023,2024,6,1,Meditate to the Sounds of Nature,4QVhmUB84DlDhbodr1aamr
2024-04-01,50w3lD1tVFon2IBD8jRBOO,harmonic pathways,396936.0,52,2098,high vibe,2021,2024,20,4,Meditate to the Sounds of Nature,3T4OHmowOZnJnBgXqg8YPQ
2024-04-01,5GMZzcgmUwopsHBB7TyCsy,the wind and the wave,280016.0,41,49716,"folk-pop, new americana",2014,2024,16,1,Sunrise Run,0l0fgtFUOrcsk2Xks5EBd3
2024-04-01,5HUFo8AH9ZILmlyKFfEMNP,jerry cantrell,197878.0,41,294870,"alternative metal, grunge, post-grunge",1998,2022,11,3,Grunge Forever,0ecuZefr04QYl0cGpT53Nz
2024-04-01,5OyM0rVbelDv6mU0FEjdNL,dreamdeeper,185921.0,40,264,binaural,2021,2024,5,3,Meditate to the Sounds of Nature,4xqHr91EEXm4qhnEeju02d
2024-04-01,5SHQUMAmEK5KmuSb0aDvsn,hole,3155303.0,61,1134092,"alternative rock, grunge, riot grrrl",1991,2012,6,1,Grunge Forever,"6CHENx8iqzMwavTIz8s0gm, 49t1GWE6ZiEoBgN92oMDdM"
2024-04-01,5TnQc2N1iKlFjYD7CPGvFc,day6,2401808.0,66,3192983,"k-pop, k-pop boy group",2017,2024,20,2,K-Pop ON! (온),6je5cTal6PyeITNrOzkCoS
2024-04-01,5dQtzw5YaP9ZCMv0GWymws,cooper sams,249568.0,42,3995,background music,2022,2024,20,1,Meditate to the Sounds of Nature,5Gx8X9lJUJy8QfFzo61DMM
2024-04-01,5fzZ93Y7teAEqppKqLAlR8,raf21,163535.0,39,23210,organic ambient,2020,2024,20,3,Meditate to the Sounds of Nature,7MviasItbMuhm79ZxyMr1o
