objectid,nombre,direccion,tipozona,tipoemision,so2,no2,o3,co,pm10,pm25,fecha_carga,calidad_ambiental
28,Viveros,Jardines de Viveros,Urbana,Fondo,0.0,22.0,76.0,,,,2024-05-31T20:20:09+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,,14.0,,,18.0,7.0,2024-05-31T20:20:10+00:00,Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1.0,6.0,75.0,,,,2024-05-31T20:20:05+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,,7.0,,,,,2024-05-31T20:20:11+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,,20.0,,,21.0,8.0,2024-05-31T20:20:13+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,,12.0,,,20.0,9.0,2024-05-31T20:20:13+00:00,Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1.0,10.0,71.0,0.1,7.0,2.0,2024-05-31T20:20:04+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,5.0,10.0,70.0,0.3,5.0,4.0,2024-05-31T20:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,3.0,26.0,56.0,0.7,6.0,1.0,2024-05-31T20:20:07+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2.0,3.0,78.0,,17.0,10.0,2024-05-31T20:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,,9.0,,,25.0,8.0,2024-05-31T20:20:10+00:00,Razonablemente Buena
