objectid,nombre,direccion,tipozona,tipoemision,so2,no2,o3,co,pm10,pm25,fecha_carga,calidad_ambiental
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,10,71,0.7,8,3,2024-05-24T20:20:06+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,5,88,N/A,N/A,N/A,2024-05-24T20:20:08+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,24,N/A,N/A,20,11,2024-05-24T20:20:11+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,15,N/A,N/A,20,11,2024-05-24T20:20:12+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,82,0.1,9,6,2024-05-24T20:20:04+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,17,13,2024-05-24T20:20:07+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,3,N/A,N/A,23,9,2024-05-24T20:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,4,N/A,N/A,N/A,N/A,2024-05-24T20:20:11+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1,5,83,N/A,N/A,N/A,2024-05-24T20:20:05+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,6,76,0.3,7,5,2024-05-24T20:20:05+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,8,N/A,N/A,15,8,2024-05-24T20:20:09+00:00,Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,5,77,0.3,7,5,2024-05-24T23:20:06+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,9,N/A,N/A,15,8,2024-05-24T23:20:10+00:00,Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,18,N/A,N/A,20,11,2024-05-24T23:20:12+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,10,N/A,N/A,20,11,2024-05-24T23:20:13+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,73,0.7,8,3,2024-05-24T23:20:07+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,17,13,2024-05-24T23:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,4,N/A,N/A,24,9,2024-05-24T23:20:11+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,82,0.1,9,6,2024-05-24T23:20:05+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1,5,83,N/A,N/A,N/A,2024-05-24T23:20:05+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,5,88,N/A,N/A,N/A,2024-05-24T23:20:09+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,4,N/A,N/A,N/A,N/A,2024-05-24T23:20:11+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,4,78,0.3,7,5,2024-05-25T00:20:05+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,18,13,2024-05-25T00:20:08+00:00,Razonablemente Buena
